OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.7,arm64,40.0,2.89352,123.0,scikit-optimize
MacOS,3.7,amd64,40.0,2.925345,162.0,scikit-optimize
Windows,3.7,amd64,40.0,2.943491,152.0,scikit-optimize
Linux-Xenial,3.8,amd64,41.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,41.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,41.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,41.0,2.96349,98.0,scikit-optimize
Linux-Focal,3.7,amd64,41.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,41.0,2.89352,158.0,scikit-optimize
MacOS,3.7,amd64,41.0,2.925345,168.0,scikit-optimize
Windows,3.7,amd64,41.0,2.943491,156.0,scikit-optimize
Linux-Xenial,3.8,amd64,42.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,42.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,42.0,2.96349,98.0,scikit-optimize
Linux-Bionic,3.7,amd64,42.0,2.96349,97.0,scikit-optimize
Linux-Focal,3.7,amd64,42.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,42.0,2.89352,168.0,scikit-optimize
MacOS,3.7,amd64,42.0,2.925345,168.0,scikit-optimize
Windows,3.7,amd64,42.0,2.943491,154.0,scikit-optimize
Linux-Xenial,3.8,amd64,43.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,43.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,43.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,43.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,43.0,2.96349,101.0,scikit-optimize
Linux-Xenial,3.7,arm64,43.0,2.89352,113.0,scikit-optimize
MacOS,3.7,amd64,43.0,2.925345,172.0,scikit-optimize
Windows,3.7,amd64,43.0,2.943491,157.0,scikit-optimize
Linux-Xenial,3.8,amd64,44.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,44.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,44.0,2.96349,94.0,scikit-optimize
Linux-Bionic,3.7,amd64,44.0,2.96349,93.0,scikit-optimize
Linux-Focal,3.7,amd64,44.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,44.0,2.89352,167.0,scikit-optimize
MacOS,3.7,amd64,44.0,2.925345,169.0,scikit-optimize
Windows,3.7,amd64,44.0,2.943491,158.0,scikit-optimize
Linux-Xenial,3.8,amd64,45.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,45.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,45.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,45.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,45.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,45.0,2.89352,99.0,scikit-optimize
